Application: Tecan i-control,,,,"Tecan i-control , 1.9.17.0",,,,,,,
Device: infinite M1000Pro,,,,Serial number: 1208003232,,,,,,,
Firmware: V_1.05_11/2011_S3LCE_ALPHA (Nov  3 2011/09.27.24),,,,"MAI, V_1.05_11/2011_S3LCE_ALPHA (Nov  3 2011/09.27.24)",,,,,,,
,,,,,,,,,,,
Date:,2/8/19,,,,,,,,,,
Time:,4:14:26 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
System,,,,CANMEDW545332,,,,,,,
User,,,,CANMEDW545332\millslab,,,,,,,
Plate,,,,Corning 96 Flat Bottom Transparent Polystyrol  [COS96ft.pdfx],,,,,,,
Plate-ID (Stacker),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Label: PB,,,,,,,,,,,
Mode,,,,Fluorescence Bottom Reading,,,,,,,
Excitation Wavelength,,,,560,nm,,,,,,
Emission Wavelength,,,,590,nm,,,,,,
Excitation Bandwidth,,,,10,nm,,,,,,
Emission Bandwidth,,,,10,nm,,,,,,
Gain,,,,55,Manual,,,,,,
Number of Flashes,,,,50,,,,,,,
Flash Frequency,,,,400,Hz,,,,,,
Integration Time,,,,20,µs,,,,,,
Lag Time,,,,0,µs,,,,,,
Settle Time,,,,0,ms,,,,,,
Part of Plate,,,,B2-G11,,,,,,,
Start Time:,2/8/2019 4:14:26 PM,,,,,,,,,,
,,,,,,,,,,,
,Temperature: 24.6 ¡C,,,,,,,,,,
<>,2,3,4,5,6,7,8,9,10,11,12
B,1885,2052,2115,2112,2041,2185,2211,2119,2022,2020,1418
C,1828,2013,1901,2111,2038,2202,2268,2191,2193,2075,1429
D,1800,1901,1925,1928,1880,1884,1996,1955,2042,1949,1392
E,1731,1692,1741,1801,1807,1851,1926,1832,1776,1927,1406
F,1673,1624,1649,1812,1720,1817,1832,1761,1756,1838,1387
G,1749,1731,1781,1838,1930,1820,1764,1767,1782,1539,1405
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
End Time:,2/8/2019 4:14:48 PM,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Movement,,,,Move Plate Out,,,,,,,